################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2025-10-24 18:26:26 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2025-10-24 18:26:26", "3203cde4bf0411aa8962b76dc7d71616d0e5c2511cb6d30d116d3b6e5106d677", "6fe2891d2611b78cfd9aa5a4b02ed203", "91dff00fa0407867389d44103ccafeaa3adc40e4", "abuse_ch", "kmips", "elf", "application/x-executable", "n/a", "n/a", "32.76", "n/a", "3072:mItkpucAAu42dlMMNVAEQoURo+de9yMEK0p4O+03TXFQv:mItkpRAAuLdlMMNVAEQoc49v0v+0jXU", "T18314961E6E228F7DF778873047B74A35AB6923D627E0D644E1ACD1105F2029E641FFA8"
"2025-10-24 18:26:25", "1c48a29bbae246fca12effdf64036471d9432f43241fbacaf27a57cdbbcc5ec4", "95af95cf651dd1eb8a90a91a448e3467", "24e784d2e7bf0b821f4e5b95f9346350d9c8ca0f", "abuse_ch", "rpc.statdd", "elf", "application/x-executable", "Mirai", "n/a", "60.94", "n/a", "1536:X/YnPdzPNTlrOn7K6aKhDps7zRfgkECenCYD1f:XAnPdVNOnG69hC5fgkEFdpf", "T146739C63CD291D98C69C86B575A4CE3A5763E81056972FF2069BCB27D007EECF40A3B4"
"2025-10-24 18:25:11", "33a995a9fb0790de7a522da691ab296e6d0e845b8228cb1fde3acddfff4e0584", "0e2b4fa198be5903eac2f1b388b11f05", "d92a69d1e59b5678b2ac304f6f18b6eb9f27a342", "abuse_ch", "0e2b4fa198be5903eac2f1b388b11f05.exe", "exe", "application/x-dosexec", "njrat", "n/a", "88.73", "f34d5f2d4577ed6d9ceec516c1f5a744", "1536:MYxlY23kGwgMBUQGum2U8aVCguHEvQEbFeDVC3woFRKpTdm6c:DlY23kg3sguGDFaXmn", "T102A3E1387E862133C67EC1F1A9E6768AABA9212F3191DDCE4C97028518F2F155EC1D1F"
"2025-10-24 18:23:08", "114150b8c65a3f371ceaab14ba1c2a24b11e7b9da9db4710c7903af7ba7278ce", "c23b6ebff96f956894462e3bb62211c2", "0d705d4f4be8e8045829a732623bef1493992fee", "abuse_ch", "arm4", "elf", "application/x-executable", "n/a", "n/a", "n/a", "n/a", "1536:acd8TFlOPL3fdqaSgg3+Coofkbj7RfPQ/k2ADseVTSKU2QfVOIQtWWuNDlBUwywI:ITiD3fdboIH7VuA5VBUxaYlnjM", "T121E31945FD509F22C6D622BBFF4E42CD772A5768D3EE720389255F20378A8570E76242"
"2025-10-24 18:20:21", "843157ebe28a28f5b8d7c695d81e9865e3bcec3b47c93a723d3b1eb8bc69dcb2", "d05725698e912d458f4722a0387cb786", "c1f859961a3b4f5eab0b244d7ec8bd1135ae777a", "abuse_ch", "arm5", "elf", "application/x-executable", "n/a", "n/a", "n/a", "n/a", "1536:KOEN34zsfKOOWLfC5hpx+3/xY+IZJMIsONcmPN271ADzzFT3A4DnfUOPGyHsTtOu:CxfYmfABqwNnM1AzFM4TCYspfJwo", "T18EE31A45FC819F26C6D6267BFB4E438D772A1768D3EE720399255F20378A85B0E37242"
"2025-10-24 18:19:28", "f4fe702a9a8ce9667cde4dc3c4b6ba5c782a888c9e4502487eff9510bae37d98", "84384afd120826f4be5600e65b6f1109", "485af61cf1a50f07ce389a4f89d82fb617e994c2", "abuse_ch", "morte.mpsl", "elf", "application/x-executable", "Mirai", "n/a", "55.56", "n/a", "1536:iW1PNPDi2hJyLdRYiHj95/qQ3pO0OSAt0QJpbGpj9PIZqm8DS5K3XAQZVfqUSuA:LPNPRPydRYiHQtGp9Itm5VfqUzA", "T143C3D709BFA11EFBEC6FCC3706E90B0224CD691626A87F75B570D428F64A25F15E3864"
"2025-10-24 18:19:16", "511b25ed223e2c3d10fdace548405b886e3b958df125802ef7eb108caef84280", "3851ed77151606ce9ec844279e718f0c", "ee2f5ffa2d66a466250011438cfd40b490ab9889", "abuse_ch", "morte.arm", "elf", "application/x-executable", "Mirai", "n/a", "53.12", "n/a", "1536:lm76Cpw6bV1byvNBDiPuEHTy3XK2GdTw/IGuOf3xUXVDafaFvaPD+q:lm76uVNyPDiPuE9zTwQyUlXar+q", "T1BB935B85FC928A22CAC55A7BFB2E028D331663A4D1EE7207CD259F21738752F0E7B155"
"2025-10-24 18:18:59", "9dd61a51de3a0cb77220223bba665ff0f76566f069d898ad47eaa3cea9b8ac45", "0922d8ca0532a225723478cdf9849321", "2581df5a26652391c6f227d3b90e13313835ae05", "abuse_ch", "morte.arm6", "elf", "application/x-executable", "Mirai", "n/a", "53.12", "n/a", "1536:GAnMyAveV5wkvWyY7nwl1lTe7r11TzfuMvOaqvdNkkXjDhiZJZENEn7sU5uYV6p:uy/Ee7ERBmMvOaqvgJZENEnwUwpp", "T123A33B96FC928A21D9C546BEFB1D114E331317B8E2DE72128E245F31B38A66B0E7B415"
"2025-10-24 18:18:56", "1dc6708d028c171432d509fec1e2dde2a672dcf7188741b1feb9f736a684ceef", "395bcf4a4f64ba760d6c1fd463aa7695", "f8781d241752249b88ca4fca03dfdd0faa9bb7e0", "abuse_ch", "morte.arm5", "elf", "application/x-executable", "Mirai", "n/a", "52.38", "n/a", "1536:5J0QvYIElDeQuZeSoj8wuXMsHCIUYRQa:5J0QvMieN8wucy/RQa", "T136431885FCD3C86ACAC49B7A672E068D3352B3E0D1CE7647CD644F21638962F6E67910"
"2025-10-24 18:18:51", "35ee089802b90d01b69c8e91df7d858c7d1de9ba847867adb91260905da0a9ae", "ecd778af2d92785fa82258e75e365132", "59dd11e40826a597d6629e9553a7cea21eab5dc6", "abuse_ch", "morte.mips", "elf", "application/x-executable", "Mirai", "n/a", "53.23", "n/a", "3072:Z6btmEh0wkape8Vq09tZ8HqlJVBjssjTr:ytmEh0wkMe8Vq09tCWJgsjH", "T147C3B64E7E318F7CFBA8863447B34E21969923D626E1EA85D1ECD6005F6034E741FBA4"
"2025-10-24 18:18:47", "8b64c343dfe045c321256f2cdf81a64c493d076dcd58220535602c666555e808", "45d64324b67d20e72300cfa2e5f5e9ab", "78630a43e50caa534cc907167531e9e4708611b6", "abuse_ch", "morte.arm7", "elf", "application/x-executable", "Mirai", "n/a", "53.12", "n/a", "3072:DyU6MKjSwf2bMOa8ph4vlJy60U87kWCm+KbxEK7YLo2+CM/9z1ynW2u:DyU65v24Oa8ph4vlJd0Uqn+axn7YLoW+", "T1EC044C46FA818A23C4D7177AB79F424533239764D3EB33059928AFB43F827AE4E27505"
"2025-10-24 18:18:25", "cbe7a2aa969dffd900226e9be23ab3a7f7b2274ac01001525dd2064883267b33", "98f4d07fe705ddfb6fd348e4ca083fda", "8810fb7b44fa22e09abaf666911cc7b92df026f9", "smica83", "357-16230-25_24.10.2025.rar", "rar", "application/x-rar", "n/a", "n/a", "8.20", "n/a", "96:ZSULYMIGHXCHAbzvO4v8OP4p3snDMmJH9AyJW2py+jYSts3ZE1+bpcWruorjN+7e:VLKGHXCHAbzvlUOPu+MmJH9AyJW+iqAR", "T1C4C19F14FEE16791E4F10965CE8B579070219D43B441EFBB2B962326B6E31FB8579110"
"2025-10-24 18:18:08", "55f10aecdf4b7e313db30414134f095c2c54aa7ee455d0a40d0136c4e3057224", "8c4f009d93614a82781b2ae37dd9fb32", "9da2da93c1e9c985c5f4c38fed72ffb864906176", "abuse_ch", "arm6", "elf", "application/x-executable", "n/a", "n/a", "n/a", "n/a", "3072:Pv4NaWr1/dA3jzVntfbAa+c7WU6WxxrRu5MJsZCBjjM:n4NDXSHbfMa+mWU1rYsCCBnM", "T16FF30946F8818B15D5D255BAFF0E128E37231B78E3DE73029D246F307B8A86B0E7A515"
"2025-10-24 18:16:51", "3a535b1a61e9e60f940b7a9c7feb42558687381f20030cf37fa38be726d6c717", "e27c014f8b2a64f6b7056e21d9b47fbd", "5c93239b2e1c325151d5b713024228cb470901a4", "abuse_ch", "morte.sh4", "elf", "application/x-executable", "Mirai", "n/a", "53.97", "n/a", "1536:W/xB8xZt+CNXXUtRoaUK6d1e71j+twCDrds2dKd:W5B8jsGE/oab6yx+tw++yKd", "T195839E63E9656C78C5548976B1648F3A03A3F4404A8B7EF505EACA72D047EECF40B3B9"
"2025-10-24 18:16:50", "18582c2cc8350f43e621db205622ed0bafba786c2a8357b7cd462ff2d6c78aeb", "33c019049467535aa2bf98e699033df3", "71abf94d13064944a25cb34a680b8dad2253367d", "abuse_ch", "morte.x86", "elf", "application/x-executable", "Mirai", "n/a", "41.54", "n/a", "768:TpyggE4PYBM1+XGRV+Sl3jpSO2sp5TvXbbosFZVAkLbcSLpYNcnbcuyD7UGQRjt:Ttg9Yyq0hl3NSVsTvrzpAuRLscnouy8N", "T17603F182C7969F00D23A50B99C7DF90F058D7209E194DEE51EE1741D8BE1F3AAA1C2D3"
"2025-10-24 18:16:49", "283fc1969391d9eb82a4b65ce96fc9b296b18c8f4c1521554682a4cf92c2959a", "d586ccebf3700e725a13fc10303bc811", "3ad4178e6b701f59ab99a7a86713efd1cdbe4c1f", "abuse_ch", "morte.spc", "elf", "application/x-executable", "Mirai", "n/a", "48.39", "n/a", "1536:iTf9153iDh9L66cy+0wTvoVHDgVpeSptgEUpNm5D6UWxG0YxetQf6+:M2hdQeCiEoNOD6UWIh6+", "T108A33B21F8391A3BC8D4E43712F34722F1F2569918ACBA5EBDB10D8DBB2466037576B4"
