################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2025-11-21 16:12:30 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2025-11-21 16:12:30", "3be292e49b1212cd4ce8fb1f63509544dec1688931d35c7df4c67dd95f9ca675", "d158e5644724e4a8e1117bd3c67ef027", "45e7dd3c80af9ffef9c614e5dfb5632b14f1f937", "abuse_ch", "S3o.arc", "elf", "application/x-executable", "n/a", "n/a", "n/a", "n/a", "1536:EfE+/uEjEl8RZ1a+78ND9RazeS2JlnjcQVrpyvJOgxZJhnlxgqz/LW1:EE+/Lj1378ND9Rm9qnjNUJOEnfgqzq", "T14AD3BE97F74B19A1C81302F40BCF5FDE2E5322929F5B98E76C6E617B18790CB1912B81"
"2025-11-21 16:08:26", "b47823da70bb16a6cbb97909b93c2fea1ac03d9e11b16901ee43a9834b415f9e", "725f2f0c7976bb7bfde7f1e6ff567829", "2913ec7e7ea4bc89c7203b492c109ecedff7e37d", "abuse_ch", "S3o.arm5", "elf", "application/x-executable", "Mirai", "n/a", "n/a", "n/a", "1536:tAO3JnNK820T8vWIT8Mtpf5SFyLTAn6jQzdvqY99nnn89nnn:tH3JnNK8tnTqYbnkn", "T11D630646B8828B3BC7D0177AA66E668E376173E4A2CF312BCD205B6137C650F5D57E80"
"2025-11-21 16:07:25", "0709e2df710aadbefa5c76a6304de855f1ed9339345cd69987860478b79e370e", "22221ac3b27c7c786e0bb918db6063d9", "6b5477d686a24988491f42f30b8d80fab797da4b", "abuse_ch", "S3o.arm5", "elf", "application/x-executable", "Mirai", "n/a", "28.12", "n/a", "768:Jc39Lqcb304C/tlJp2ETpiCeLJes3Uoz/Q:JS91QlJwCir1DzY", "T1AAC2E159A2C42D31E370007AAE1CC3077A876636E1DD31E8AEB1434CEEA745796FC21B"
"2025-11-21 16:05:07", "d4b39a2508d321d19451fec03c2ab58c605901fe2af2f2314171303d49d13e8e", "cf6f07596664b87578110e3dc0b7a0fd", "ef5b3a92ceb8c687e6237627b05041571009f4d9", "abuse_ch", "m68k", "elf", "application/x-sharedlib", "Mirai", "n/a", "34.38", "n/a", "768:0/4bvzQoJs8R7PvsV7KaXG658b++SyaFvxYG1OM7QHKp1IzM7MvVvC6MEYa9GPZk:007Qk7naXVBsa1x+EQ3zK+vC6Sa4PZk", "T19A637DD4F2067E7DC89B293DD48D2B4ABF1C5FE05A439511A0B2BE471AB31531D22DCA"
"2025-11-21 16:02:13", "e27288fcd6c3ccbadf90d37481ff6b407e31eeb33f775e5110be3e75401879b9", "88417922ba6fe6385c86aa866290663b", "6f5dbeaee0b4bee68f2772774b14c44b61e7b21d", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "16.90", "052cdca8d4bafb20a5561f8e1a832cc6", "24576:bFidHS2VWm0VIr8uPmU+0NkLtRUE4Elerv:Jidy3m0il+lIeyv", "T1EB253371F8B0AD98C44D62F147B9B73378B4ECA41579C0F8A87523CE5A169BF3D92881"
"2025-11-21 16:00:28", "e04cc11b575025f8ab13ff6bb2028a7be33f2d27a3d2ac7f65862cb19108a4f1", "1911d38e12ed40aa1df89c6aac4dc580", "078067df91f3f566f5ed1c36fbeb0ba55434d20e", "Alex_sev", "script.ps1", "ps1", "text/plain", "n/a", "n/a", "14.52", "n/a", "48:EAfZHzQeDxz0wyoYB3Rw1mpCjs9AQm1KVQFjL7VCS0pm9+DG3qUEXpw3WIIYVRWX:hz9DZ0TrBh2jtviQFf7V30a+IZjteZ", "T1AF41C6A26B8981D3C7C302F3490BB5D8E2DC0098D8F26D60E4F2FA10A76D10D4ACB87D"
"2025-11-21 15:50:19", "2f427c091401f25c800002ac613e0e141c0c3eb5adb619d9d17add8bf29f38fb", "6ff8d90b8d9205c58d266702dc6d81b0", "0d4dd39d8851dcfcba33493eba304ee0fe2e71cb", "abuse_ch", "2f427c091401f25c800002ac613e0e141c0c3eb5adb61.exe", "exe", "application/x-dosexec", "ValleyRAT", "n/a", "56.94", "a148a8db492373de1476064a76421f47", "196608:Vy1B7cU5nVEY8rN0bfmsjPUEEpk4gYXzuu6u0FRVaji7i9wI+jDB:a/Vp8rNexxChjuy0UzL+5", "T112C6BC026D4302ADFE1D73B937EE5225A9A04D5A0B2C45720BE2F9ECCF3915399D391E"
"2025-11-21 15:47:29", "c533f5c224b031402b17f1aa88daef681d218b6e4e3270f90a57bb3f6d6730ca", "dd9d78974c94b31c7b75b32b5b208523", "93e0f32b6c31c0feb7341cdb416171caa2a128d2", "abuse_ch", "SecuriteInfo.com.Linux.Siggen.9999.7193.11734", "elf", "application/x-executable", "Mirai", "n/a", "58.46", "n/a", "3072:o0KcoQKFIp6TAZGSxzpa4dpZ+zqEwtd0Hn:XKcoJFIpgSx9aEvDEwUHn", "T1E2B31846F8824B22D5CB12BAFA2D518E331317E8E3DE72229E145F2173C766B0E77945"
"2025-11-21 15:47:27", "a3ffcd6470c07335ef5aa25fee95565adf443c8e08612851c453c5d9be2ec98d", "adf99b92c949f9ba0fafa8a1cda3332e", "f07586d90c5acc3f8b8bbde3fbb87ad7f73d9aa9", "abuse_ch", "SecuriteInfo.com.Linux.Siggen.9999.11870.28835", "elf", "application/x-executable", "Mirai", "n/a", "55.38", "n/a", "3072:G2VJjF3m+J4J7rhevgizJhhnWOR40FcL+Xhg:FJjF3m067rhevgizJ7jzE+Xhg", "T10FD3B60E7E219F7DFBA9C23447B78F26A64833D627E1C541D1ACE6011E6024E645FFA8"
"2025-11-21 15:47:09", "6fed4fd04ebc6cfe158e868e01ab973d0f27a02c029895ec735dc632384fd4ce", "dd62fa3e5c81869c4d91f08494685ea7", "77a9ce6ddea18549f34b6696ada54cc2f88f11ee", "SecuriteInfoCom", "SecuriteInfo.com.Linux.Siggen.9999.7193.11734", "elf", "application/x-executable", "Mirai", "n/a", "40.62", "n/a", "768:lhiWlWLbQearw65rBKkj57c0nvDMiAX/Z1vs/i17XajuSrFTY/9TAGqjC0PjW7C7:XULbQFrhmUbNAPnUq17n2c/OGmRCCXlZ", "T1AE23F1A1164652F19AC18932BB3DF3CB6F0C23BE74DA79F02ED84A2466D97453FD0609"
