################################################################
# MalwareBazaar recent malware samples (CSV)                   #
# Last updated: 2025-11-24 12:09:23 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "first_seen_utc","sha256_hash","md5_hash","sha1_hash","reporter","file_name","file_type_guess","mime_type","signature","clamav","vtpercent","imphash","ssdeep","tlsh"
"2025-11-24 12:09:23", "38713a538ea46799f3de660b3ff86d5888c71fab824b330c986ab03ff0a07382", "d1b4a6f6c6dcbf403bbd50096c6975d6", "e8b54e355fc20560c20973e83307deb4963f5b59", "threatcat_ch", "PO11242025.exe", "exe", "application/x-dosexec", "n/a", "n/a", "47.89", "f34d5f2d4577ed6d9ceec516c1f5a744", "12288:3xkyapXSVesHzZqjyTLxT9gg8BOzCR3mE1BXJ58RY1s0kNlizbGSuNpu:hkNpu8+TLxZgJOzymE1n58+1sbNlkb+p", "T19CD402642A45DA13CDB957B80AB1F2B0077E5EBDE412E6268FD86CDBF962B510C103D3"
"2025-11-24 12:00:09", "dd441f57d9f8bf9e8b75eec13b611962e7e4d9aba98a1a93293ac6c3c611946c", "7b204713ab745e04c86e486f7a871de2", "0acdd019a4267c621a0d5fda125f0b35abbf0cf3", "FXOLabs", "rfactura_2404047141_2024-09-17T02_00_1__.exe", "exe", "application/x-dosexec", "n/a", "n/a", "14.49", "6e7f9a29f2c85394521a08b9f31f6275", "12288:rTPNp7iMN06yC8H4M5s0JTM3gMILtzGplObbY+Z7IUEuBOhPUFCmw2G57AxMQd4T:rTPN8N6d8H4M202/IL1GXObbTjbgPUFM", "T124F423127240D1BFEF724A75B91756B9C373FEBC17A12D5B97E02C292E72142C12E942"
"2025-11-24 11:42:02", "f86503cf93f1173c4654b1c8f073c941fdcab89c9425bb8fe0bdb079c08e362f", "a5645e49ab1e33cc4770716c4e03f7eb", "ccc1ba026144a1f28e99d7247439c8f2c06e44d2", "Bitsight", "file", "exe", "application/x-dosexec", "Socks5Systemz", "n/a", "15.49", "884310b1928934402ea6fec1dbd3cf5e", "98304:MdN5rQVvZDXDxhRK5tRCgFyVV46es3em0qtVAO3:GncbDxhROCCNxbmbSO3", "T17DF53386938F42B1E21AC5F2BCAC8794A67BFA2058745163981DF23D2FED2613F1C745"
"2025-11-24 11:40:17", "9f79084bd9b8b49953855bbed400ae565673c9c966d6591b36dd02d60f363ef4", "186248ab9d208110c33d28b378717d4a", "62b657784732d1ef2786d6c822c94111aaf3175f", "abuse_ch", "YiWaiWai-2025.msi.exe", "exe", "application/x-dosexec", "ValleyRAT", "n/a", "45.59", "92a837646cf5ec725bec298d40c28659", "3072:vhdC6oWmXVl9ZnTOWUgCkMRVHNElyfyEVN1UQC+Dr:fCDFLZnSKnU+Q1D", "T163B38D11B4C1C4B1D5B619365975CA614E7DFD300E65AFAB2398023A1FF40D0EA3AEB7"
"2025-11-24 11:28:54", "731a144baa1d2bd6b316a3b4408fe280a15d39c6998374169e5cec803ff0729a", "3aa4e5eb1f497e795dec3858bcff0058", "acce8da2984a64504ef3a0688a4fa8d07f2a8d9e", "smica83", "YiWaiWai-2025.msi", "msi", "application/x-msi", "ValleyRAT", "n/a", "9.80", "n/a", "1572864:IXbnJWJF2IQao/wFH+S/1hFYI8IRZIGmphrXn2jpA78I1i7UWr94E:uLY3e/KDhYcqLrCYhQ7UWK", "T112E7332172CAC236D2AE1436E979FF6E09B57E33073045D3B7A8BD6A44B14C35634A87"
"2025-11-24 11:28:24", "d39896e2abcf740a89acff01d3513cd69874e3c77191bb26837ae2dce146843d", "1f40cc3d6e96feed83107c6f2dc72601", "f78431c3238f6cfb4ad66249c0c9aadf7c6602c7", "abuse_ch", "morte.arm7", "elf", "application/x-executable", "Mirai", "n/a", "53.57", "n/a", "3072:10vERRsZ2Xxw5hS7hOZMuWaExc0SCWDJbnAoDZpxcE1wKT+:10swmY6hilWaExc0SCUJMoFpxcE1wKT+", "T1F5042A49F9819F15C5C626FAFA6F414933125BB9D3EA3102CD149FB463CB88B0F7A606"
"2025-11-24 11:27:26", "69fa4a5a20cdd22f6eec82d75b5b7df84451bc7470fc550af651e75bba27d81b", "b234d8d4101d438169f8ea38e4579fb9", "6d8a0c8c59003dc9b3df5a87a6ef71cc5f5f1de2", "abuse_ch", "morte.arm7", "elf", "application/x-executable", "Mirai", "n/a", "48.44", "n/a", "1536:90+u3WweTdQ5tH6Z/0Xiw7onnKLrB77xYRbfatocWLj:97u3KcaR0lonnKLd7FY5wofLj", "T11E630297C5BA395AC9111C300AEE8DD83B9DBE68C5DE30739F02842C2F1569F7E261C1"
"2025-11-24 11:02:34", "4543d54f1d174df866bdc815f568852c091edf4d2fa28f61a044cae731d9a875", "99a74bddb345ab147a57564b50d01b37", "f941317b9fac2759c795802d1f133fd4a2278f12", "Bitsight", "file", "exe", "application/x-dosexec", "MaskGramStealer", "n/a", "30.00", "dc6b57a7282f87959d9942f26d5c0b74", "98304:AZawisJh/pN/lGc3D0OPQBecLrXxTbuGA:3vsJhhN9GcFPoesrXxTbO", "T124065BE706D5259FC02AC8BAF611B82EC39FB87B8B15F0D3815675F8C163849F066B25"
"2025-11-24 10:54:36", "e354f2ec41ae4b915c485b252c4cee303d5f7c0badd07fd7dba48f9fe9b3367e", "2efe44ad9bddbdbadf683d2eb669b3b6", "e3d46e92199a8f17f5a70fccbb6982b3d04c5d3a", "SecuriteInfoCom", "SecuriteInfo.com.Trojan.Packed2.50433.6589.16040", "exe", "application/x-dosexec", "MassLogger", "n/a", "74.29", "f34d5f2d4577ed6d9ceec516c1f5a744", "12288:VimAXuVpzSq359Dn/ABPiaT+96zwUJNOIEJWhNae:/zS859DIBrU6kUPhEJxe", "T115C4F10526DA9A0AC4B61FB51A74C17053B53ECEB922EB1B8FD46CDB3D327414A0B74B"
"2025-11-24 10:28:17", "85c0e3209b312fc6d2f5e2079caa0d33aec8348e39579a7babe7a6b482a07648", "fd08232e3af6893fd3df409236ff2c26", "82f2da883b21601e77eefa8d5d1756a8bc1d4b71", "smica83", "installer.exe", "exe", "application/x-dosexec", "QuasarRAT", "n/a", "16.90", "0058caa108186abf74c81651deab016c", "196608:eBwBFfNDVXVFnBK80HL6+sGsd8jxmZo2D2rpQjavXxBRrhLfenvn2lgA3GE1oYWc:n1ZTUrLXGtcQaBRVenv2jv8Ov562bp", "T1A3171202BAC69DA8E08CCC74C3468A974B2274DB0B2AB6EF47D555242F7E7F45F18319"
